#Data Set Export - Total Storage.Web-Daily-ac-ft@08461200,,,,
Timestamp (UTC-06:00),Value (TCM),Grade Code,Approval Level,Interpolation Type
1953-08-19 00:00:00,1936.6,41,800,2
1953-08-20 00:00:00,1837.9,41,800,2
1953-08-21 00:00:00,2109.3,41,800,2
1953-08-22 00:00:00,8696.1,41,800,2
1953-08-23 00:00:00,32206.4,41,800,2
1953-08-24 00:00:00,101849.2,41,800,2
1953-08-25 00:00:00,167162.5,41,800,2
1953-08-26 00:00:00,306707.1,41,800,2
1953-08-27 00:00:00,489041.5,41,800,2
1953-08-28 00:00:00,592950.6,41,800,2
1953-08-29 00:00:00,629770.3,41,800,2
1953-08-30 00:00:00,663247.2,41,800,2
1953-08-31 00:00:00,696329.3,41,800,2
1953-09-01 00:00:00,754722.7,41,800,2
1953-09-02 00:00:00,830162.9,41,800,2
1953-09-03 00:00:00,929582.2,41,800,2
1953-09-04 00:00:00,1069003.4,41,800,2
1953-09-05 00:00:00,1128815.3,41,800,2
1953-09-06 00:00:00,1165770.7,41,800,2
1953-09-07 00:00:00,1190896.9,41,800,2
1953-09-08 00:00:00,1188368.2,41,800,2
1953-09-09 00:00:00,1185839.5,41,800,2
1953-09-10 00:00:00,1182077.4,41,800,2
1953-09-11 00:00:00,1180794.6,41,800,2
1953-09-12 00:00:00,1178278.3,41,800,2
1953-09-13 00:00:00,1170766.3,41,800,2
1953-09-14 00:00:00,1165770.7,41,800,2
1953-09-15 00:00:00,1163279.0,41,800,2
1953-09-16 00:00:00,1158308.1,41,800,2
1953-09-17 00:00:00,1153349.4,41,800,2
1953-09-18 00:00:00,1150882.5,41,800,2
1953-09-19 00:00:00,1148415.5,41,800,2
1953-09-20 00:00:00,1145948.5,41,800,2
1953-09-21 00:00:00,1143493.9,41,800,2
1953-09-22 00:00:00,1143493.9,41,800,2
1953-09-23 00:00:00,1143493.9,41,800,2
1953-09-24 00:00:00,1143493.9,41,800,2
1953-09-25 00:00:00,1143493.9,41,800,2
1953-09-26 00:00:00,1141026.9,41,800,2
1953-09-27 00:00:00,1133687.6,41,800,2
