#Data Set Export - Reservoir Elevation.Web-Daily-m@08461200,,,,
Timestamp (UTC-06:00),Value (m),Grade Code,Approval Level,Interpolation Type
1953-08-23 00:00:00,59.527440000000006,41,800,2
1953-08-24 00:00:00,64.00800000000001,41,800,2
1953-08-25 00:00:00,68.961,41,800,2
1953-08-26 00:00:00,71.36892,41,800,2
1953-08-27 00:00:00,74.55408,41,800,2
1953-08-28 00:00:00,77.1144,41,800,2
1953-08-29 00:00:00,78.21168000000002,41,800,2
1953-08-30 00:00:00,78.5622,41,800,2
1953-08-31 00:00:00,78.867,41,800,2
1953-09-01 00:00:00,79.15656,41,800,2
1953-09-02 00:00:00,79.64424000000001,41,800,2
1953-09-03 00:00:00,80.2386,41,800,2
1953-09-04 00:00:00,80.97012,41,800,2
1953-09-05 00:00:00,81.915,41,800,2
1953-09-06 00:00:00,82.296,41,800,2
1953-09-07 00:00:00,82.5246,41,800,2
1953-09-08 00:00:00,82.677,41,800,2
1953-09-09 00:00:00,82.66176,41,800,2
1953-09-10 00:00:00,82.64652,41,800,2
1953-09-11 00:00:00,82.63128000000002,41,800,2
1953-09-12 00:00:00,82.61604000000001,41,800,2
1953-09-13 00:00:00,82.6008,41,800,2
1953-09-14 00:00:00,82.55508000000002,41,800,2
1953-09-15 00:00:00,82.5246,41,800,2
1953-09-16 00:00:00,82.50936,41,800,2
1953-09-17 00:00:00,82.47888000000002,41,800,2
1953-09-18 00:00:00,82.4484,41,800,2
1953-09-19 00:00:00,82.43316,41,800,2
1953-09-20 00:00:00,82.41792,41,800,2
1953-09-21 00:00:00,82.40268000000002,41,800,2
1953-09-22 00:00:00,82.38744000000001,41,800,2
1953-09-23 00:00:00,82.38744000000001,41,800,2
1953-09-24 00:00:00,82.38744000000001,41,800,2
1953-09-25 00:00:00,82.38744000000001,41,800,2
1953-09-26 00:00:00,82.38744000000001,41,800,2
1953-09-27 00:00:00,82.3722,41,800,2
1953-09-28 00:00:00,82.32648000000002,41,800,2
1953-09-29 00:00:00,82.296,41,800,2
1953-09-30 00:00:00,82.256376,41,800,2
1953-10-01 00:00:00,82.19541600000001,41,800,2
1953-10-02 00:00:00,82.15884000000001,41,800,2
1953-10-03 00:00:00,82.122264,41,800,2
1953-10-04 00:00:00,82.207608,41,800,2
1953-10-05 00:00:00,82.28076,41,800,2
1953-10-06 00:00:00,82.32952800000001,41,800,2
1953-10-07 00:00:00,82.335624,41,800,2
1953-10-08 00:00:00,82.32952800000001,41,800,2
1953-10-09 00:00:00,82.35696,41,800,2
1953-10-10 00:00:00,82.36305600000001,41,800,2
1953-10-11 00:00:00,82.366104,41,800,2
1953-10-12 00:00:00,82.3722,41,800,2
1953-10-13 00:00:00,82.381344,41,800,2
1953-10-14 00:00:00,82.393536,41,800,2
1953-10-15 00:00:00,82.408776,41,800,2
1953-10-16 00:00:00,82.42096800000002,41,800,2
1953-10-17 00:00:00,82.408776,41,800,2
1953-10-18 00:00:00,82.411824,41,800,2
1953-10-19 00:00:00,82.37829599999999,41,800,2
1953-10-20 00:00:00,82.35391200000001,41,800,2
1953-10-21 00:00:00,82.323432,41,800,2
1953-10-22 00:00:00,82.299048,41,800,2
1953-10-23 00:00:00,82.55508000000002,41,800,2
1953-10-24 00:00:00,82.619088,41,800,2
1953-10-25 00:00:00,82.9056,41,800,2
